Name,COMSTOCK RES.INCO. 2004 6 7/8% 01/03/12 S - GROSS PRICE
Code,38875H(GP)
14/03/2008,94.3437
17/03/2008,94.3628
18/03/2008,94.3819
19/03/2008,94.4392
20/03/2008,94.4583
21/03/2008,94.4774
24/03/2008,94.9965
25/03/2008,96.0156
26/03/2008,96.0538
27/03/2008,96.5729
28/03/2008,96.592
31/03/2008,96.6111
1/04/2008,96.6302
2/04/2008,96.6875
3/04/2008,96.7066
4/04/2008,97.2257
7/04/2008,97.7448
8/04/2008,97.7639
9/04/2008,97.3212
10/04/2008,97.3403
11/04/2008,96.8594
14/04/2008,96.8784
15/04/2008,96.8976
16/04/2008,97.4548
17/04/2008,97.4739
18/04/2008,97.743
21/04/2008,97.5121
22/04/2008,97.5312
23/04/2008,97.5885
24/04/2008,97.6076
25/04/2008,97.8767
28/04/2008,98.1458
29/04/2008,98.1649
30/04/2008,100.2222
1/05/2008,100.6163
2/05/2008,100.6354
5/05/2008,100.6545
6/05/2008,100.5486
7/05/2008,100.3559
8/05/2008,100.625
9/05/2008,100.3941
12/05/2008,100.4132
13/05/2008,100.1823
14/05/2008,100.4896
15/05/2008,100.5087
16/05/2008,100.5278
19/05/2008,100.5468
20/05/2008,99.5659
21/05/2008,99.6232
22/05/2008,99.3923
23/05/2008,99.6614
26/05/2008,99.6805
27/05/2008,99.6996
28/05/2008,99.9878
29/05/2008,100.0069
30/05/2008,100.026
2/06/2008,100.0451
3/06/2008,99.8142
4/06/2008,99.7465
5/06/2008,99.8906
6/06/2008,99.9097
9/06/2008,100.1788
10/06/2008,100.1979
11/06/2008,100.0052
12/06/2008,100.0243
13/06/2008,99.7934
16/06/2008,100.0625
17/06/2008,100.3316
18/06/2008,100.3889
19/06/2008,100.158
20/06/2008,100.4271
23/06/2008,100.4462
24/06/2008,100.2153
25/06/2008,100.5226
26/06/2008,100.2916
27/06/2008,100.3107
30/06/2008,100.5798
1/07/2008,100.0989
2/07/2008,100.6562
3/07/2008,100.4253
4/07/2008,100.4444
7/07/2008,100.4635
8/07/2008,100.2326
9/07/2008,100.5399
10/07/2008,100.059
11/07/2008,99.5781
14/07/2008,100.3472
15/07/2008,99.8663
16/07/2008,100.1736
17/07/2008,100.4427
