Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
8/11/2006,100.5
9/11/2006,100.5278
10/11/2006,100.5555
13/11/2006,100.5833
14/11/2006,100.6111
15/11/2006,100.6944
16/11/2006,100.7222
17/11/2006,100.75
20/11/2006,100.7778
21/11/2006,100.8055
22/11/2006,100.8889
23/11/2006,100.9166
24/11/2006,100.9444
27/11/2006,100.9722
28/11/2006,96
29/11/2006,96.0833
30/11/2006,96.1111
1/12/2006,96.1389
4/12/2006,96.1666
5/12/2006,96.1944
6/12/2006,96.2778
7/12/2006,96.3055
8/12/2006,96.3333
11/12/2006,96.3611
12/12/2006,96.3889
13/12/2006,96.4722
14/12/2006,96.5
15/12/2006,96.5278
18/12/2006,96.5555
19/12/2006,96.5833
20/12/2006,96.6666
21/12/2006,96.6944
22/12/2006,96.7222
25/12/2006,96.75
26/12/2006,96.7778
27/12/2006,96.8333
28/12/2006,96.8611
29/12/2006,96.8889
1/01/2007,96.9166
2/01/2007,96.9444
3/01/2007,97.0278
4/01/2007,97.0555
5/01/2007,97.0833
8/01/2007,97.1111
9/01/2007,97.1389
10/01/2007,97.2222
11/01/2007,97.25
12/01/2007,97.2778
15/01/2007,97.3055
16/01/2007,97.3333
17/01/2007,97.4166
18/01/2007,97.4444
19/01/2007,97.4722
22/01/2007,97.5
23/01/2007,97.5278
24/01/2007,97.6111
25/01/2007,97.6389
26/01/2007,97.6389
29/01/2007,97.6666
30/01/2007,97.6944
31/01/2007,97.7778
1/02/2007,97.8055
2/02/2007,97.8333
5/02/2007,97.8611
6/02/2007,97.8889
7/02/2007,97.9722
8/02/2007,98
9/02/2007,98.0278
12/02/2007,98.0555
13/02/2007,98.0833
14/02/2007,98.1666
15/02/2007,98.1944
16/02/2007,98.2222
19/02/2007,98.25
20/02/2007,98.2778
21/02/2007,98.3611
22/02/2007,98.3889
23/02/2007,98.4166
26/02/2007,98.5
27/02/2007,98.5278
28/02/2007,98.6111
1/03/2007,98.6389
2/03/2007,98.6666
5/03/2007,98.6944
6/03/2007,98.7222
7/03/2007,98.8055
8/03/2007,98.8333
9/03/2007,98.8611
12/03/2007,98.8889
13/03/2007,98.9166
14/03/2007,99
15/03/2007,99.0278
16/03/2007,99.0555
19/03/2007,99.0833
20/03/2007,99.1111
21/03/2007,99.1944
22/03/2007,99.2222
23/03/2007,99.25
26/03/2007,99.2778
27/03/2007,99.3055
28/03/2007,99.3611
29/03/2007,99.3889
30/03/2007,99.4166
2/04/2007,99.4444
3/04/2007,99.4722
4/04/2007,99.5555
5/04/2007,99.5833
6/04/2007,99.6111
9/04/2007,99.6389
10/04/2007,99.6666
11/04/2007,99.75
12/04/2007,99.7778
13/04/2007,99.8055
16/04/2007,99.8333
17/04/2007,99.8611
18/04/2007,99.9444
19/04/2007,99.9722
20/04/2007,100
23/04/2007,100.0278
24/04/2007,100.0555
25/04/2007,100.1389
26/04/2007,100.1666
27/04/2007,100.1944
30/04/2007,100.2222
1/05/2007,100.25
2/05/2007,100.3333
3/05/2007,100.3611
4/05/2007,100.3889
7/05/2007,100.4166
8/05/2007,100.4444
9/05/2007,100.5278
10/05/2007,100.5555
11/05/2007,100.5833
14/05/2007,100.6111
15/05/2007,100.6389
16/05/2007,100.7222
17/05/2007,100.75
18/05/2007,100.7778
21/05/2007,100.8055
22/05/2007,100.8333
23/05/2007,100.9166
24/05/2007,100.9444
25/05/2007,100.9722
28/05/2007,100.9722
29/05/2007,96
30/05/2007,96.0833
31/05/2007,96.1111
1/06/2007,96.1389
4/06/2007,96.1666
5/06/2007,96.1944
6/06/2007,96.2778
7/06/2007,96.3055
8/06/2007,96.3333
11/06/2007,96.3611
12/06/2007,96.3889
13/06/2007,96.4722
14/06/2007,96.5
15/06/2007,96.5278
18/06/2007,96.5555
19/06/2007,96.5833
20/06/2007,96.6666
21/06/2007,96.6944
22/06/2007,96.7222
25/06/2007,96.75
26/06/2007,96.7778
27/06/2007,96.8611
28/06/2007,96.8889
29/06/2007,96.9166
2/07/2007,96.9444
3/07/2007,96.9722
4/07/2007,97.0555
5/07/2007,97.0833
6/07/2007,97.1111
9/07/2007,97.1389
10/07/2007,97.1666
11/07/2007,97.25
12/07/2007,97.2778
13/07/2007,97.3055
16/07/2007,97.3333
17/07/2007,97.3611
18/07/2007,97.4444
19/07/2007,97.4722
20/07/2007,97.5
23/07/2007,97.5278
24/07/2007,97.5555
25/07/2007,97.6389
26/07/2007,97.6389
27/07/2007,97.6666
30/07/2007,97.6944
31/07/2007,97.7222
1/08/2007,97.8055
2/08/2007,97.8333
3/08/2007,97.8611
6/08/2007,97.8889
7/08/2007,97.9166
8/08/2007,98
9/08/2007,98.0278
10/08/2007,98.0555
13/08/2007,98.0833
14/08/2007,98.1111
15/08/2007,98.1944
16/08/2007,98.2222
17/08/2007,98.25
20/08/2007,98.2778
21/08/2007,98.3055
22/08/2007,98.3889
23/08/2007,98.4166
24/08/2007,98.4444
27/08/2007,98.4722
28/08/2007,98.4722
29/08/2007,98.5555
30/08/2007,98.5833
31/08/2007,98.6111
3/09/2007,98.6389
4/09/2007,98.6666
5/09/2007,98.75
6/09/2007,98.7778
7/09/2007,98.8055
10/09/2007,98.8333
11/09/2007,98.8611
12/09/2007,98.9444
13/09/2007,98.9722
14/09/2007,99
17/09/2007,99.0278
18/09/2007,99.0555
19/09/2007,99.1389
20/09/2007,99.1666
21/09/2007,99.1944
24/09/2007,99.2222
25/09/2007,99.25
26/09/2007,99.3333
27/09/2007,99.3611
28/09/2007,99.3889
1/10/2007,99.4166
2/10/2007,99.4444
3/10/2007,99.5278
4/10/2007,99.5555
5/10/2007,99.5833
8/10/2007,99.6111
9/10/2007,99.6389
10/10/2007,99.7222
11/10/2007,99.75
12/10/2007,99.7778
15/10/2007,99.8055
16/10/2007,99.8333
17/10/2007,99.9166
18/10/2007,99.9444
19/10/2007,99.9722
22/10/2007,100
23/10/2007,100.0278
24/10/2007,100.1111
25/10/2007,100.1389
26/10/2007,100.1389
29/10/2007,100.1666
30/10/2007,100.1944
31/10/2007,100.2778
1/11/2007,100.3055
2/11/2007,100.3333
5/11/2007,100.3611
6/11/2007,100.3889
7/11/2007,100.4722
8/11/2007,100.5
9/11/2007,100.5278
12/11/2007,100.5555
13/11/2007,100.5833
14/11/2007,100.6666
15/11/2007,100.6944
16/11/2007,100.7222
19/11/2007,100.75
20/11/2007,100.7778
21/11/2007,100.8611
22/11/2007,100.8889
23/11/2007,100.9166
26/11/2007,100.9444
27/11/2007,100.9722
