Name,ANIXTER INCO. 2005 5.95% 01/03/15 S - DEFAULT PRICE
Code,48998L(GP)
13/04/2007,94
16/04/2007,94
17/04/2007,93.75
18/04/2007,93.75
19/04/2007,94.5
20/04/2007,94.5
23/04/2007,94
24/04/2007,94
25/04/2007,94
26/04/2007,94
27/04/2007,94
30/04/2007,94
1/05/2007,94
2/05/2007,93
3/05/2007,94
4/05/2007,94
7/05/2007,94
8/05/2007,94
9/05/2007,94
10/05/2007,94
11/05/2007,94
14/05/2007,94
15/05/2007,94
16/05/2007,94
17/05/2007,94
18/05/2007,93.25
21/05/2007,93.25
22/05/2007,93.25
23/05/2007,93.25
24/05/2007,94
25/05/2007,93.75
28/05/2007,93.75
29/05/2007,93
30/05/2007,93
31/05/2007,93.5
1/06/2007,93.5
4/06/2007,93.5
5/06/2007,94
6/06/2007,94
7/06/2007,94
8/06/2007,94
11/06/2007,93.5
12/06/2007,93.5
13/06/2007,93
14/06/2007,93
15/06/2007,93
18/06/2007,93
19/06/2007,93.5
20/06/2007,93.5
21/06/2007,93.5
22/06/2007,93.5
25/06/2007,93
26/06/2007,93
27/06/2007,93
28/06/2007,93.5
29/06/2007,93.5
2/07/2007,93.5
3/07/2007,93.5
4/07/2007,93.5
5/07/2007,93.5
6/07/2007,93.5
9/07/2007,93.5
10/07/2007,93.5
11/07/2007,93.5
12/07/2007,93.5
13/07/2007,93.5
16/07/2007,93
17/07/2007,92.875
18/07/2007,92.5
19/07/2007,92.5
20/07/2007,92.5
23/07/2007,92.5
24/07/2007,90.875
25/07/2007,90.875
26/07/2007,89.5
27/07/2007,89
30/07/2007,89
31/07/2007,90
1/08/2007,89.5
2/08/2007,89.75
3/08/2007,89.75
6/08/2007,89.75
7/08/2007,89.75
8/08/2007,89.75
9/08/2007,89.25
10/08/2007,89.25
13/08/2007,89.5
14/08/2007,89.5
15/08/2007,89.5
16/08/2007,89
17/08/2007,89
20/08/2007,89
21/08/2007,89.25
22/08/2007,89.5
23/08/2007,90
24/08/2007,90
27/08/2007,90
28/08/2007,90
29/08/2007,90
30/08/2007,90.5
31/08/2007,90.5
3/09/2007,90.5
4/09/2007,90.5
5/09/2007,90.5
6/09/2007,90.5
7/09/2007,90.5
10/09/2007,90.5
11/09/2007,91.25
12/09/2007,91.25
13/09/2007,91.25
14/09/2007,91.25
17/09/2007,91.25
18/09/2007,91.25
19/09/2007,91.25
20/09/2007,91.25
21/09/2007,91.25
24/09/2007,91.25
25/09/2007,91.5
26/09/2007,91.5
27/09/2007,91.5
28/09/2007,91.5
1/10/2007,91.5
2/10/2007,91.5
3/10/2007,91.5
4/10/2007,91.5
5/10/2007,91.5
8/10/2007,91.5
9/10/2007,92
10/10/2007,92
11/10/2007,92
12/10/2007,91.5
15/10/2007,91.75
16/10/2007,91.5
17/10/2007,91.25
18/10/2007,91.25
19/10/2007,91.25
22/10/2007,91.25
23/10/2007,91.25
24/10/2007,91.25
25/10/2007,91.25
26/10/2007,91.25
29/10/2007,91.25
30/10/2007,91.5
31/10/2007,91.5
1/11/2007,91.5
2/11/2007,91
5/11/2007,91
6/11/2007,91.25
7/11/2007,91.25
8/11/2007,91.25
9/11/2007,91.25
12/11/2007,91.25
13/11/2007,91.25
14/11/2007,91.25
15/11/2007,91.25
16/11/2007,91.25
19/11/2007,91.25
20/11/2007,91.25
21/11/2007,90.5
22/11/2007,90.5
23/11/2007,90.5
26/11/2007,90.5
27/11/2007,90.5
28/11/2007,90.5
29/11/2007,90.5
30/11/2007,90.5
3/12/2007,90.5
4/12/2007,90.5
5/12/2007,90.5
6/12/2007,90.5
7/12/2007,90
10/12/2007,90
11/12/2007,90
12/12/2007,90
13/12/2007,90
14/12/2007,90
17/12/2007,90
18/12/2007,90
19/12/2007,90
20/12/2007,90.125
21/12/2007,90.125
24/12/2007,90.125
25/12/2007,90.125
26/12/2007,90.125
27/12/2007,90.125
28/12/2007,90.125
31/12/2007,90.125
1/01/2008,90.125
2/01/2008,90.125
3/01/2008,90.125
4/01/2008,90.125
7/01/2008,89.75
8/01/2008,89.75
9/01/2008,89.5
10/01/2008,89.5
11/01/2008,89.5
14/01/2008,89.5
15/01/2008,89.5
16/01/2008,89.5
17/01/2008,89.5
18/01/2008,89.5
21/01/2008,89.5
22/01/2008,89.5
23/01/2008,89.5
24/01/2008,89.5
25/01/2008,89.5
28/01/2008,89.5
29/01/2008,89.75
30/01/2008,89.75
31/01/2008,89.75
1/02/2008,89.25
4/02/2008,89.75
5/02/2008,89.75
6/02/2008,89.75
7/02/2008,89.75
8/02/2008,89.75
11/02/2008,89.75
12/02/2008,89.75
13/02/2008,89.75
14/02/2008,89
15/02/2008,89
18/02/2008,89
