Name,PUBLIC SER.ENTER.GP.2004 5% 15/08/14 S - GROSS PRICE
Code,466164(GP)
10/12/2007,99.4206
11/12/2007,100.276
12/12/2007,99.8791
13/12/2007,99.3796
14/12/2007,99.0571
17/12/2007,99.2839
18/12/2007,99.7076
19/12/2007,100.014
20/12/2007,100.2486
21/12/2007,99.7708
24/12/2007,99.5569
25/12/2007,99.5708
26/12/2007,99.1896
27/12/2007,99.6812
28/12/2007,100.2737
31/12/2007,100.6168
1/01/2008,100.6307
2/01/2008,101.3181
3/01/2008,101.2937
4/01/2008,101.5843
7/01/2008,101.6926
8/01/2008,101.6956
9/01/2008,102.0095
10/01/2008,101.4925
11/01/2008,101.9488
14/01/2008,102.0571
15/01/2008,102.5715
16/01/2008,102.5406
17/01/2008,102.967
18/01/2008,102.9416
21/01/2008,102.9555
22/01/2008,103.591
23/01/2008,103.9692
24/01/2008,102.7738
25/01/2008,103.0993
28/01/2008,103.1214
29/01/2008,102.7016
30/01/2008,102.3068
31/01/2008,102.8792
1/02/2008,103.104
4/02/2008,102.8792
5/02/2008,103.2038
6/02/2008,103.0841
7/02/2008,102.4358
8/02/2008,102.9292
11/02/2008,103.1035
12/02/2008,100.2805
13/02/2008,100.2441
14/02/2008,99.5409
15/02/2008,99.773
18/02/2008,99.7869
19/02/2008,99.3055
20/02/2008,99.1472
21/02/2008,99.8779
22/02/2008,99.859
25/02/2008,99.2327
26/02/2008,99.474
27/02/2008,99.5788
28/02/2008,100.3428
29/02/2008,101.3723
3/03/2008,101.358
4/03/2008,101.184
5/03/2008,100.5124
6/03/2008,100.9031
7/03/2008,101.1469
10/03/2008,101.4517
11/03/2008,100.3226
12/03/2008,101.6484
13/03/2008,101.3538
14/03/2008,102.0167
17/03/2008,102.3397
18/03/2008,101.5408
19/03/2008,102.1151
20/03/2008,102.3104
21/03/2008,102.3243
24/03/2008,101.2893
25/03/2008,101.4557
26/03/2008,101.4659
27/03/2008,101.2836
28/03/2008,101.657
31/03/2008,101.8563
1/04/2008,101.221
2/04/2008,101.0669
3/04/2008,101.0427
4/04/2008,101.6476
7/04/2008,101.2703
8/04/2008,101.273
9/04/2008,101.8183
10/04/2008,101.4737
11/04/2008,101.8072
14/04/2008,101.6362
15/04/2008,101.293
16/04/2008,100.6472
17/04/2008,100.4903
18/04/2008,100.9639
21/04/2008,101.1333
22/04/2008,101.1256
23/04/2008,101.1028
24/04/2008,100.6097
25/04/2008,100.406
28/04/2008,100.6111
29/04/2008,100.6677
30/04/2008,101.0448
1/05/2008,101.128
2/05/2008,100.6265
5/05/2008,100.6353
6/05/2008,100.385
7/05/2008,100.5806
8/05/2008,101.2039
9/05/2008,101.4466
12/05/2008,101.3965
13/05/2008,100.6845
14/05/2008,100.5479
15/05/2008,101.0734
16/05/2008,101.0716
19/05/2008,101.1331
20/05/2008,101.4807
21/05/2008,101.2524
22/05/2008,100.7665
23/05/2008,101.2277
26/05/2008,101.2416
27/05/2008,100.5314
28/05/2008,100.1329
29/05/2008,99.7743
30/05/2008,99.9544
2/06/2008,100.6183
3/06/2008,101.0141
4/06/2008,100.8319
5/06/2008,100.3832
6/06/2008,100.8864
9/06/2008,100.6144
10/06/2008,100.0645
11/06/2008,100.2576
12/06/2008,99.5886
13/06/2008,99.3072
16/06/2008,99.3934
17/06/2008,99.5358
18/06/2008,99.938
19/06/2008,99.7123
20/06/2008,100.0544
23/06/2008,99.9104
24/06/2008,100.258
25/06/2008,100.2454
26/06/2008,100.4035
27/06/2008,100.6644
30/06/2008,100.7303
1/07/2008,100.654
2/07/2008,100.8914
3/07/2008,100.8185
4/07/2008,100.8324
7/07/2008,101.1552
8/07/2008,101.3602
9/07/2008,101.6092
10/07/2008,101.7733
11/07/2008,101.0924
14/07/2008,101.42
15/07/2008,101.6351
16/07/2008,101.2258
17/07/2008,100.6789
18/07/2008,100.4803
21/07/2008,100.5863
22/07/2008,100.4237
23/07/2008,100.2408
24/07/2008,100.9133
25/07/2008,100.4468
28/07/2008,100.9081
29/07/2008,100.7902
30/07/2008,100.8139
31/07/2008,101.1782
1/08/2008,101.3452
4/08/2008,101.253
5/08/2008,101.1001
6/08/2008,100.9215
7/08/2008,101.5995
8/08/2008,101.5377
11/08/2008,101.1926
12/08/2008,99.1275
13/08/2008,99.0531
14/08/2008,99.3206
15/08/2008,99.5481
18/08/2008,99.7504
19/08/2008,99.6319
20/08/2008,99.9077
21/08/2008,99.7079
22/08/2008,99.529
25/08/2008,99.9797
26/08/2008,100.0037
27/08/2008,100.0974
28/08/2008,99.9842
29/08/2008,99.9219
1/09/2008,99.9358
2/09/2008,100.3053
3/09/2008,100.5603
4/09/2008,100.8496
5/09/2008,100.8274
8/09/2008,100.8001
9/09/2008,101.1664
10/09/2008,100.9717
11/09/2008,100.868
12/09/2008,100.2881
