Name,SK TELECOM CO.LTD. 2004 4 1/4% 01/04/11 S - GROSS PRICE
Code,39405M(GP)
13/11/2006,96.0563
14/11/2006,96.1905
15/11/2006,95.9862
16/11/2006,95.8291
17/11/2006,96.1046
20/11/2006,96.1474
21/11/2006,96.2188
22/11/2006,96.3014
23/11/2006,96.3132
24/11/2006,96.3982
27/11/2006,96.5317
28/11/2006,96.6765
29/11/2006,96.6702
30/11/2006,97.4855
1/12/2006,97.7363
4/12/2006,97.3776
5/12/2006,97.3913
6/12/2006,97.2269
7/12/2006,97.2333
8/12/2006,96.9493
11/12/2006,97.0748
12/12/2006,97.245
13/12/2006,96.9379
14/12/2006,97.3488
15/12/2006,97.3627
18/12/2006,96.921
19/12/2006,96.9093
20/12/2006,96.9688
21/12/2006,97.1708
22/12/2006,96.8941
25/12/2006,96.9059
26/12/2006,96.9678
27/12/2006,97.4288
28/12/2006,97.2918
29/12/2006,97.2346
1/01/2007,97.2464
2/01/2007,96.8591
3/01/2007,97.2162
4/01/2007,97.3401
5/01/2007,97.2188
8/01/2007,97.1818
9/01/2007,97.2069
10/01/2007,97.3392
11/01/2007,97.1533
12/01/2007,97.0478
15/01/2007,97.0596
16/01/2007,97.1537
17/01/2007,97.0482
18/01/2007,97.1637
19/01/2007,97.0805
22/01/2007,97.1346
23/01/2007,97.0191
24/01/2007,97.048
25/01/2007,96.8543
26/01/2007,96.8033
29/01/2007,96.8116
30/01/2007,96.8906
31/01/2007,96.9844
1/02/2007,96.8347
2/02/2007,96.9063
5/02/2007,96.9994
6/02/2007,97.2676
7/02/2007,97.4108
8/02/2007,97.3883
9/02/2007,97.4701
12/02/2007,97.4218
13/02/2007,97.3969
14/02/2007,97.7634
15/02/2007,97.2797
16/02/2007,97.3333
19/02/2007,97.3451
20/02/2007,97.647
21/02/2007,97.6333
22/02/2007,97.4883
23/02/2007,97.7011
26/02/2007,97.9318
27/02/2007,98.4473
28/02/2007,98.3895
1/03/2007,98.4249
2/03/2007,98.5882
5/03/2007,98.5737
6/03/2007,98.4598
7/03/2007,98.6011
8/03/2007,98.6009
9/03/2007,98.2511
12/03/2007,98.3992
13/03/2007,98.6782
14/03/2007,98.4873
15/03/2007,98.4276
16/03/2007,98.4066
19/03/2007,98.3366
20/03/2007,98.6808
21/03/2007,98.8881
22/03/2007,98.7019
23/03/2007,98.6248
26/03/2007,98.7335
27/03/2007,98.7651
28/03/2007,96.6924
29/03/2007,96.5943
30/03/2007,96.5488
2/04/2007,96.5835
3/04/2007,96.5027
4/04/2007,96.6096
5/04/2007,96.5368
6/04/2007,96.618
9/04/2007,96.6492
10/04/2007,96.7636
11/04/2007,96.7496
12/04/2007,96.7497
13/04/2007,96.6599
16/04/2007,96.736
17/04/2007,96.9538
18/04/2007,96.4137
19/04/2007,96.6128
20/04/2007,96.6336
23/04/2007,96.7266
24/04/2007,96.8574
25/04/2007,96.803
26/04/2007,96.793
27/04/2007,96.7762
30/04/2007,97.0642
1/05/2007,96.965
2/05/2007,96.976
3/05/2007,96.8535
4/05/2007,97.0687
7/05/2007,97.086
8/05/2007,96.8921
9/05/2007,96.768
10/05/2007,97.1282
11/05/2007,97.0572
14/05/2007,96.9898
15/05/2007,96.8583
16/05/2007,96.9142
17/05/2007,96.7599
18/05/2007,96.5961
21/05/2007,96.654
22/05/2007,96.4272
23/05/2007,96.3899
24/05/2007,96.4644
25/05/2007,96.4523
28/05/2007,96.4523
29/05/2007,96.331
30/05/2007,96.3516
31/05/2007,96.3629
1/06/2007,96.146
4/06/2007,96.465
5/06/2007,96.1788
6/06/2007,96.3188
7/06/2007,95.9392
8/06/2007,96
11/06/2007,96.0215
12/06/2007,95.6902
13/06/2007,95.8138
14/06/2007,95.7736
15/06/2007,95.984
18/06/2007,96.1033
19/06/2007,96.3467
20/06/2007,96.2674
21/06/2007,96.1815
22/06/2007,96.3266
25/06/2007,96.5694
26/06/2007,96.4799
27/06/2007,96.6577
28/06/2007,96.4711
29/06/2007,96.6577
2/07/2007,96.7828
3/07/2007,96.6285
4/07/2007,96.6639
5/07/2007,96.3368
6/07/2007,96.2072
9/07/2007,96.2802
10/07/2007,96.2825
11/07/2007,96.2351
12/07/2007,96.0875
13/07/2007,96.1155
16/07/2007,96.236
17/07/2007,96.1206
18/07/2007,96.4339
19/07/2007,96.3981
20/07/2007,96.6554
23/07/2007,96.6417
24/07/2007,96.4722
25/07/2007,96.6606
26/07/2007,97.2375
27/07/2007,96.841
30/07/2007,96.8814
31/07/2007,96.9823
1/08/2007,97.0493
2/08/2007,97.5513
3/08/2007,97.8376
6/08/2007,97.7497
7/08/2007,97.6652
8/08/2007,97.3404
9/08/2007,97.7234
10/08/2007,97.7888
13/08/2007,97.8192
14/08/2007,98.0086
15/08/2007,97.8011
16/08/2007,98.3685
17/08/2007,98.1346
20/08/2007,98.2601
21/08/2007,98.4365
22/08/2007,97.8811
23/08/2007,97.8013
24/08/2007,97.5962
27/08/2007,97.7458
28/08/2007,98.1764
29/08/2007,98.141
30/08/2007,98.7671
31/08/2007,98.6327
3/09/2007,98.6445
4/09/2007,98.6429
5/09/2007,98.9093
6/09/2007,98.7973
7/09/2007,99.3639
10/09/2007,99.4821
11/09/2007,99.2744
12/09/2007,99.1678
13/09/2007,98.8961
14/09/2007,98.976
17/09/2007,98.79
18/09/2007,98.9604
19/09/2007,98.8874
20/09/2007,98.4824
21/09/2007,98.5774
24/09/2007,98.4527
25/09/2007,98.5847
26/09/2007,96.4076
27/09/2007,96.5297
28/09/2007,96.5377
1/10/2007,96.4934
2/10/2007,96.9487
3/10/2007,97.2737
4/10/2007,97.3245
5/10/2007,96.9495
8/10/2007,96.9613
9/10/2007,96.877
10/10/2007,96.4912
11/10/2007,96.4904
12/10/2007,96.3223
15/10/2007,96.4067
16/10/2007,96.5882
17/10/2007,97.045
18/10/2007,97.2299
19/10/2007,97.5895
22/10/2007,97.5511
23/10/2007,97.9051
24/10/2007,98.1942
25/10/2007,97.7663
26/10/2007,97.6613
29/10/2007,97.7891
30/10/2007,97.7784
31/10/2007,97.37
1/11/2007,97.6202
2/11/2007,98.2029
5/11/2007,97.8146
6/11/2007,97.7252
7/11/2007,98.1591
8/11/2007,98.4764
9/11/2007,98.4866
12/11/2007,98.3768
13/11/2007,98.1477
14/11/2007,98.3394
15/11/2007,98.8014
16/11/2007,98.851
19/11/2007,99.2242
20/11/2007,98.7872
21/11/2007,98.9146
22/11/2007,98.9264
23/11/2007,98.8096
26/11/2007,99.6166
27/11/2007,98.3403
28/11/2007,98.9507
29/11/2007,99.1927
30/11/2007,98.7939
3/12/2007,99.1855
4/12/2007,99.2345
5/12/2007,99.7115
6/12/2007,99.4395
7/12/2007,99.1736
10/12/2007,99.3603
11/12/2007,99.7182
12/12/2007,99.4389
13/12/2007,99.2223
14/12/2007,99.0511
17/12/2007,99.186
18/12/2007,99.4221
19/12/2007,98.4576
20/12/2007,98.6141
21/12/2007,98.16
24/12/2007,98.0403
25/12/2007,98.052
26/12/2007,97.8741
27/12/2007,98.1374
28/12/2007,98.4912
31/12/2007,98.7467
1/01/2008,98.7585
2/01/2008,99.3278
3/01/2008,98.6998
4/01/2008,98.9954
7/01/2008,99.5313
8/01/2008,99.5795
9/01/2008,99.8029
10/01/2008,99.594
11/01/2008,100.1684
14/01/2008,99.9733
15/01/2008,100.5695
16/01/2008,100.3993
17/01/2008,100.9161
18/01/2008,100.5238
21/01/2008,100.5356
22/01/2008,101.5325
23/01/2008,101.5587
24/01/2008,101.485
25/01/2008,101.9243
28/01/2008,100.8353
29/01/2008,100.9667
30/01/2008,100.8143
31/01/2008,100.972
1/02/2008,101.2025
4/02/2008,101.0924
5/02/2008,101.4421
6/02/2008,101.4197
7/02/2008,100.9538
8/02/2008,101.2002
11/02/2008,101.3136
12/02/2008,101.4067
13/02/2008,101.5295
14/02/2008,101.2936
15/02/2008,101.3259
18/02/2008,101.3378
19/02/2008,101.4707
20/02/2008,101.2775
21/02/2008,102.0799
22/02/2008,101.1192
25/02/2008,101.0178
26/02/2008,101.1953
27/02/2008,100.8369
28/02/2008,101.6208
29/02/2008,101.8666
3/03/2008,101.9127
4/03/2008,102.2558
5/03/2008,101.2128
6/03/2008,101.1324
7/03/2008,100.5626
10/03/2008,100.785
11/03/2008,99.9562
12/03/2008,100.8755
13/03/2008,99.8289
14/03/2008,101.1407
17/03/2008,100.9001
18/03/2008,100.8137
19/03/2008,101.3686
20/03/2008,101.3728
21/03/2008,101.3846
24/03/2008,100.0318
25/03/2008,100.0591
26/03/2008,100.2301
27/03/2008,98.0161
28/03/2008,98.2064
31/03/2008,98.0754
1/04/2008,97.6067
2/04/2008,98.1993
3/04/2008,97.9853
4/04/2008,98.3261
7/04/2008,97.5496
8/04/2008,97.7163
9/04/2008,98.7031
10/04/2008,98.4648
11/04/2008,98.6967
14/04/2008,98.5693
15/04/2008,98.3967
16/04/2008,98.6781
17/04/2008,98.2838
18/04/2008,98.0465
21/04/2008,98.092
22/04/2008,98.1642
23/04/2008,98.2367
24/04/2008,97.7609
25/04/2008,98.2214
28/04/2008,98.1265
29/04/2008,98.4843
30/04/2008,98.7258
1/05/2008,98.4137
2/05/2008,98.443
5/05/2008,98.5514
6/05/2008,98.6624
7/05/2008,98.8288
8/05/2008,98.929
9/05/2008,99.074
12/05/2008,98.9263
13/05/2008,98.8974
14/05/2008,98.9213
15/05/2008,98.6992
16/05/2008,98.3562
19/05/2008,98.4661
20/05/2008,99.0865
21/05/2008,98.6908
22/05/2008,98.808
23/05/2008,99.1328
26/05/2008,99.1446
27/05/2008,98.6347
28/05/2008,98.7187
29/05/2008,98.7194
30/05/2008,98.5018
2/06/2008,98.7363
3/06/2008,98.5806
4/06/2008,98.5912
5/06/2008,98.7149
6/06/2008,98.9588
9/06/2008,98.1526
10/06/2008,97.6801
11/06/2008,97.9702
12/06/2008,97.5186
13/06/2008,97.3963
16/06/2008,97.2571
17/06/2008,97.5881
18/06/2008,97.8095
19/06/2008,97.3996
20/06/2008,98.1005
23/06/2008,97.4917
24/06/2008,98.0051
25/06/2008,97.8359
26/06/2008,98.2545
27/06/2008,98.1202
30/06/2008,98.157
1/07/2008,98.1305
2/07/2008,98.3092
3/07/2008,98.4667
4/07/2008,98.4785
7/07/2008,98.6632
8/07/2008,98.5417
9/07/2008,99.011
10/07/2008,98.4567
11/07/2008,98.3636
14/07/2008,99.0431
15/07/2008,98.5833
16/07/2008,98.3148
17/07/2008,98.3003
18/07/2008,98.286
21/07/2008,98.2402
22/07/2008,97.7441
23/07/2008,97.9122
24/07/2008,98.3889
25/07/2008,97.5747
28/07/2008,98.0657
29/07/2008,98.534
30/07/2008,98.9102
31/07/2008,99.1782
1/08/2008,99.243
4/08/2008,99.1991
5/08/2008,99.2035
6/08/2008,99.1786
7/08/2008,99.5053
8/08/2008,99.3557
11/08/2008,99.4561
12/08/2008,99.7345
