Name,HORIZON LINES LLC 2004 9% 01/11/12 144A S - GROSS PRICE
Code,46200V(GP)
24/04/2007,112.4
25/04/2007,112.475
26/04/2007,108
27/04/2007,108.025
30/04/2007,108.05
1/05/2007,108.075
2/05/2007,108.15
3/05/2007,108.175
4/05/2007,108.2
7/05/2007,108.225
8/05/2007,108.25
9/05/2007,108.325
10/05/2007,108.35
11/05/2007,108.375
14/05/2007,108.4
15/05/2007,108.425
16/05/2007,108.5
17/05/2007,108.525
18/05/2007,108.55
21/05/2007,108.575
22/05/2007,108.6
23/05/2007,108.675
24/05/2007,108.7
25/05/2007,108.725
28/05/2007,108.725
29/05/2007,108.75
30/05/2007,108.825
31/05/2007,108.85
1/06/2007,108.875
4/06/2007,108.9
5/06/2007,108.925
6/06/2007,109
7/06/2007,109.025
8/06/2007,109.05
11/06/2007,109.075
12/06/2007,109.1
13/06/2007,109.175
14/06/2007,109.2
15/06/2007,109.225
18/06/2007,109.25
19/06/2007,109.275
20/06/2007,109.35
21/06/2007,109.375
22/06/2007,109.4
25/06/2007,109.425
26/06/2007,109.45
27/06/2007,109.525
28/06/2007,109.55
29/06/2007,109.575
2/07/2007,109.6
3/07/2007,109.625
4/07/2007,109.7
5/07/2007,109.725
6/07/2007,109.75
9/07/2007,109.775
10/07/2007,109.8
11/07/2007,109.875
12/07/2007,109.9
13/07/2007,109.925
16/07/2007,109.95
17/07/2007,109.975
18/07/2007,110.05
19/07/2007,110.075
20/07/2007,110.1
23/07/2007,110.125
24/07/2007,110.15
25/07/2007,110.225
26/07/2007,110.225
27/07/2007,110.25
30/07/2007,110.275
31/07/2007,110.3
1/08/2007,110.375
2/08/2007,110.4
3/08/2007,110.425
6/08/2007,110.45
7/08/2007,110.475
8/08/2007,110.55
9/08/2007,110.575
10/08/2007,110.6
13/08/2007,110.625
14/08/2007,110.65
15/08/2007,110.725
16/08/2007,110.75
17/08/2007,110.775
20/08/2007,110.8
21/08/2007,110.825
22/08/2007,110.9
23/08/2007,110.925
24/08/2007,110.95
27/08/2007,110.975
28/08/2007,110.975
29/08/2007,111.05
30/08/2007,111.075
31/08/2007,111.1
3/09/2007,111.125
4/09/2007,111.15
5/09/2007,111.225
6/09/2007,111.25
7/09/2007,111.275
10/09/2007,111.3
11/09/2007,111.325
12/09/2007,111.4
13/09/2007,111.425
14/09/2007,111.45
17/09/2007,111.475
18/09/2007,111.5
19/09/2007,111.575
20/09/2007,111.6
21/09/2007,111.625
24/09/2007,111.65
25/09/2007,111.675
26/09/2007,111.75
27/09/2007,111.775
28/09/2007,111.8
1/10/2007,111.825
2/10/2007,111.85
3/10/2007,111.925
4/10/2007,111.95
5/10/2007,111.975
8/10/2007,112
9/10/2007,112.025
10/10/2007,112.1
11/10/2007,112.125
12/10/2007,112.15
15/10/2007,112.175
16/10/2007,112.2
17/10/2007,112.275
18/10/2007,112.3
19/10/2007,112.325
22/10/2007,112.35
23/10/2007,112.375
24/10/2007,112.45
25/10/2007,112.475
26/10/2007,112.475
29/10/2007,108
30/10/2007,108.025
31/10/2007,108.1
1/11/2007,108.125
2/11/2007,108.15
5/11/2007,108.175
6/11/2007,108.2
7/11/2007,108.275
8/11/2007,108.3
9/11/2007,108.325
12/11/2007,108.35
13/11/2007,108.375
14/11/2007,108.45
15/11/2007,108.475
16/11/2007,108.5
19/11/2007,108.525
20/11/2007,108.55
21/11/2007,108.625
22/11/2007,108.65
23/11/2007,108.675
26/11/2007,108.7
27/11/2007,108.725
28/11/2007,108.8
29/11/2007,108.825
30/11/2007,108.85
3/12/2007,108.875
4/12/2007,108.9
5/12/2007,108.975
6/12/2007,109
7/12/2007,109.025
10/12/2007,109.05
11/12/2007,109.075
12/12/2007,109.15
13/12/2007,109.175
14/12/2007,109.2
17/12/2007,109.225
18/12/2007,109.25
19/12/2007,109.325
20/12/2007,109.35
21/12/2007,109.375
24/12/2007,109.4
25/12/2007,109.425
26/12/2007,109.475
27/12/2007,109.5
28/12/2007,109.525
31/12/2007,109.55
1/01/2008,109.575
2/01/2008,109.65
3/01/2008,109.675
4/01/2008,109.7
7/01/2008,109.725
8/01/2008,109.75
9/01/2008,109.825
10/01/2008,109.85
11/01/2008,109.875
14/01/2008,109.9
15/01/2008,109.925
16/01/2008,110
17/01/2008,110.025
18/01/2008,110.05
21/01/2008,110.075
22/01/2008,110.1
23/01/2008,110.175
24/01/2008,110.2
25/01/2008,110.225
28/01/2008,110.225
29/01/2008,110.25
30/01/2008,110.325
31/01/2008,110.35
1/02/2008,110.375
4/02/2008,110.4
5/02/2008,110.425
6/02/2008,110.5
7/02/2008,110.525
8/02/2008,110.55
11/02/2008,110.575
12/02/2008,110.6
13/02/2008,110.675
14/02/2008,110.7
15/02/2008,110.725
18/02/2008,110.75
19/02/2008,110.775
20/02/2008,110.85
21/02/2008,110.875
22/02/2008,110.9
25/02/2008,110.925
26/02/2008,110.95
27/02/2008,111.05
28/02/2008,111.075
29/02/2008,111.1
3/03/2008,111.125
4/03/2008,111.15
5/03/2008,111.225
6/03/2008,111.25
7/03/2008,111.275
10/03/2008,111.3
11/03/2008,111.325
12/03/2008,111.4
13/03/2008,111.425
14/03/2008,111.45
17/03/2008,111.475
18/03/2008,111.5
19/03/2008,111.575
20/03/2008,111.6
21/03/2008,111.625
24/03/2008,111.65
25/03/2008,111.675
26/03/2008,111.725
27/03/2008,111.75
28/03/2008,111.775
31/03/2008,111.8
1/04/2008,111.825
2/04/2008,111.9
3/04/2008,111.925
4/04/2008,111.95
7/04/2008,111.975
8/04/2008,112
9/04/2008,112.075
10/04/2008,112.1
11/04/2008,112.125
14/04/2008,112.15
15/04/2008,112.175
16/04/2008,112.25
17/04/2008,112.275
18/04/2008,112.3
21/04/2008,112.325
22/04/2008,112.35
23/04/2008,112.425
24/04/2008,112.45
25/04/2008,112.475
28/04/2008,108
29/04/2008,108.025
30/04/2008,108.1
1/05/2008,108.125
2/05/2008,108.15
5/05/2008,108.175
6/05/2008,108.2
7/05/2008,108.275
8/05/2008,108.3
9/05/2008,108.325
12/05/2008,108.35
13/05/2008,108.375
14/05/2008,108.45
15/05/2008,108.475
16/05/2008,108.5
19/05/2008,108.525
20/05/2008,108.55
21/05/2008,108.625
22/05/2008,108.65
23/05/2008,108.675
26/05/2008,108.7
27/05/2008,108.725
28/05/2008,108.775
29/05/2008,108.8
30/05/2008,108.825
2/06/2008,108.85
3/06/2008,108.875
4/06/2008,108.95
5/06/2008,108.975
6/06/2008,109
9/06/2008,109.025
10/06/2008,109.05
11/06/2008,109.125
12/06/2008,109.15
13/06/2008,109.175
16/06/2008,109.2
17/06/2008,109.225
18/06/2008,109.3
19/06/2008,109.325
20/06/2008,109.35
23/06/2008,109.375
24/06/2008,109.4
25/06/2008,109.475
26/06/2008,109.5
27/06/2008,109.525
30/06/2008,109.55
1/07/2008,109.575
2/07/2008,109.65
3/07/2008,109.675
4/07/2008,109.7
7/07/2008,109.725
8/07/2008,109.75
9/07/2008,109.825
10/07/2008,109.85
11/07/2008,109.875
14/07/2008,109.9
15/07/2008,109.925
16/07/2008,110
17/07/2008,110.025
18/07/2008,110.05
21/07/2008,110.075
22/07/2008,110.1
23/07/2008,110.175
24/07/2008,110.2
25/07/2008,110.225
28/07/2008,110.225
29/07/2008,110.25
30/07/2008,110.325
31/07/2008,110.35
1/08/2008,110.375
4/08/2008,110.4
5/08/2008,110.425
6/08/2008,110.5
7/08/2008,110.525
8/08/2008,110.55
11/08/2008,110.575
12/08/2008,110.6
13/08/2008,110.675
14/08/2008,110.7
15/08/2008,110.725
18/08/2008,110.75
19/08/2008,110.775
20/08/2008,110.85
21/08/2008,110.875
22/08/2008,110.9
25/08/2008,110.925
26/08/2008,110.95
27/08/2008,111
28/08/2008,111.025
29/08/2008,111.05
1/09/2008,111.075
2/09/2008,111.1
3/09/2008,111.175
4/09/2008,111.2
5/09/2008,111.225
8/09/2008,111.25
9/09/2008,111.275
10/09/2008,111.35
11/09/2008,111.375
12/09/2008,111.4
